category,file,rows,n_unique_patient_id,columns,missing_pct
Sex_birth,date of birth.csv,382537,382537.0,PATIENT_ID;DATE_OF_BIRTH,"{""PATIENT_ID"": 0.0, ""DATE_OF_BIRTH"": 0.0}"
Sex_birth,females patients.csv,238893,238893.0,PATIENT_ID;SEX,"{""PATIENT_ID"": 0.0, ""SEX"": 0.0}"
Sex_birth,males patients.csv,143644,143644.0,PATIENT_ID;SEX,"{""PATIENT_ID"": 0.0, ""SEX"": 0.0}"
Diagnosis,DIAGNOSIS Direct.csv,238529,142449.0,PATIENT_ID;PROBLEM_ID;CODE_NUMBER;DIAGNOSIS;DATE_ENTERED,"{""PATIENT_ID"": 0.0, ""PROBLEM_ID"": 0.0, ""CODE_NUMBER"": 0.0, ""DIAGNOSIS"": 0.0, ""DATE_ENTERED"": 0.0}"
Diagnosis,DIAGNOSIS wide.csv,263518,153097.0,PATIENT_ID;PROBLEM_ID;CODE_NUMBER;DIAGNOSIS;DATE_ENTERED,"{""PATIENT_ID"": 0.0, ""PROBLEM_ID"": 0.0, ""CODE_NUMBER"": 0.0, ""DIAGNOSIS"": 0.0, ""DATE_ENTERED"": 0.0}"
Diagnosis,DIAGNOSIS TYPES TOTAL 8600.csv,8658,,DIAGNOSIS,"reference/vocab list, not patient-linked"
Diagnosis,diagnosis 760.csv,758,,Diagnosis,"reference/vocab list, not patient-linked"
Diagnosis,diagnosis 899.csv,899,,DIAGNOSIS,"reference/vocab list, not patient-linked"
Medications,M1.csv,72624,15041.0,PATIENT_ID;DISPENSED_DATE;GENERIC_NAME;QTY;DAYS_SUPPLY,"{""PATIENT_ID"": 0.0, ""DISPENSED_DATE"": 0.0, ""GENERIC_NAME"": 0.0, ""QTY"": 0.0, ""DAYS_SUPPLY"": 0.0}"
Medications,M2.csv,69716,12114.0,PATIENT_ID;DISPENSED_DATE;GENERIC_NAME;QTY;DAYS_SUPPLY,"{""PATIENT_ID"": 0.0, ""DISPENSED_DATE"": 0.0, ""GENERIC_NAME"": 0.0, ""QTY"": 0.0, ""DAYS_SUPPLY"": 0.0}"
Medications,M3.csv,63152,11685.0,PATIENT_ID;DISPENSED_DATE;GENERIC_NAME;QTY;DAYS_SUPPLY,"{""PATIENT_ID"": 0.0, ""DISPENSED_DATE"": 0.0, ""GENERIC_NAME"": 0.0, ""QTY"": 0.0, ""DAYS_SUPPLY"": 0.0}"
Medications,M4.csv,81636,18402.0,PATIENT_ID;DISPENSED_DATE;GENERIC_NAME;QTY;DAYS_SUPPLY,"{""PATIENT_ID"": 0.0, ""DISPENSED_DATE"": 0.0, ""GENERIC_NAME"": 0.0, ""QTY"": 0.0, ""DAYS_SUPPLY"": 0.0}"
Medications,M5.csv,62817,13610.0,PATIENT_ID;DISPENSED_DATE;GENERIC_NAME;QTY;DAYS_SUPPLY,"{""PATIENT_ID"": 0.0, ""DISPENSED_DATE"": 0.0, ""GENERIC_NAME"": 0.0, ""QTY"": 0.0, ""DAYS_SUPPLY"": 0.0}"
Medications,M6.csv,59269,9994.0,PATIENT_ID;DISPENSED_DATE;GENERIC_NAME;QTY;DAYS_SUPPLY,"{""PATIENT_ID"": 0.0, ""DISPENSED_DATE"": 0.0, ""GENERIC_NAME"": 0.0, ""QTY"": 0.0, ""DAYS_SUPPLY"": 0.0}"
Medications,M7.csv,76926,15096.0,PATIENT_ID;DISPENSED_DATE;GENERIC_NAME;QTY;DAYS_SUPPLY,"{""PATIENT_ID"": 0.0, ""DISPENSED_DATE"": 0.0, ""GENERIC_NAME"": 0.0, ""QTY"": 0.0, ""DAYS_SUPPLY"": 0.0}"
Medications,M8.csv,75370,18809.0,PATIENT_ID;DISPENSED_DATE;GENERIC_NAME;QTY;DAYS_SUPPLY,"{""PATIENT_ID"": 0.0, ""DISPENSED_DATE"": 0.0, ""GENERIC_NAME"": 0.0, ""QTY"": 0.0, ""DAYS_SUPPLY"": 0.0}"
Medications,M9.csv,78706,15909.0,PATIENT_ID;DISPENSED_DATE;GENERIC_NAME;QTY;DAYS_SUPPLY,"{""PATIENT_ID"": 0.0, ""DISPENSED_DATE"": 0.0, ""GENERIC_NAME"": 0.0, ""QTY"": 0.0, ""DAYS_SUPPLY"": 0.0}"
Medications,M10.csv,64696,12471.0,PATIENT_ID;DISPENSED_DATE;GENERIC_NAME;QTY;DAYS_SUPPLY;R,"{""PATIENT_ID"": 0.0, ""DISPENSED_DATE"": 0.0, ""GENERIC_NAME"": 0.0, ""QTY"": 0.0, ""DAYS_SUPPLY"": 0.0, ""R"": 0.0}"
Medications,M11.csv,92842,21749.0,PATIENT_ID;DISPENSED_DATE;GENERIC_NAME;QTY;DAYS_SUPPLY,"{""PATIENT_ID"": 0.0, ""DISPENSED_DATE"": 0.0, ""GENERIC_NAME"": 0.0, ""QTY"": 0.0, ""DAYS_SUPPLY"": 0.0}"
Medications,M12.csv,71199,17471.0,PATIENT_ID;DISPENSED_DATE;GENERIC_NAME;QTY;DAYS_SUPPLY,"{""PATIENT_ID"": 0.0, ""DISPENSED_DATE"": 0.0, ""GENERIC_NAME"": 0.0, ""QTY"": 0.0, ""DAYS_SUPPLY"": 0.0}"
Medications,M13.csv,75460,15250.0,PATIENT_ID;DISPENSED_DATE;GENERIC_NAME;QTY;DAYS_SUPPLY,"{""PATIENT_ID"": 0.0, ""DISPENSED_DATE"": 0.0, ""GENERIC_NAME"": 0.0, ""QTY"": 0.0, ""DAYS_SUPPLY"": 0.0}"
Medications,M14.csv,63553,12660.0,PATIENT_ID;DISPENSED_DATE;GENERIC_NAME;QTY;DAYS_SUPPLY,"{""PATIENT_ID"": 0.0, ""DISPENSED_DATE"": 0.0, ""GENERIC_NAME"": 0.0, ""QTY"": 0.0, ""DAYS_SUPPLY"": 0.0}"
Medications,M15.csv,83203,20196.0,PATIENT_ID;DISPENSED_DATE;GENERIC_NAME;QTY;DAYS_SUPPLY,"{""PATIENT_ID"": 0.0, ""DISPENSED_DATE"": 0.0, ""GENERIC_NAME"": 0.0, ""QTY"": 0.0, ""DAYS_SUPPLY"": 0.0}"
Medications,M16.csv,80419,17906.0,PATIENT_ID;DISPENSED_DATE;GENERIC_NAME;QTY;DAYS_SUPPLY,"{""PATIENT_ID"": 0.0, ""DISPENSED_DATE"": 0.0, ""GENERIC_NAME"": 0.0, ""QTY"": 0.0, ""DAYS_SUPPLY"": 0.0}"
Medications,M17.csv,64229,16629.0,PATIENT_ID;DISPENSED_DATE;GENERIC_NAME;QTY;DAYS_SUPPLY,"{""PATIENT_ID"": 0.0, ""DISPENSED_DATE"": 0.0, ""GENERIC_NAME"": 0.0, ""QTY"": 0.0, ""DAYS_SUPPLY"": 0.0}"
Medications,M18.csv,80007,14329.0,PATIENT_ID;DISPENSED_DATE;GENERIC_NAME;QTY;DAYS_SUPPLY,"{""PATIENT_ID"": 0.0, ""DISPENSED_DATE"": 0.0, ""GENERIC_NAME"": 0.0, ""QTY"": 0.0, ""DAYS_SUPPLY"": 0.0}"
Medications,M19.csv,56365,12615.0,PATIENT_ID;DISPENSED_DATE;GENERIC_NAME;QTY;DAYS_SUPPLY,"{""PATIENT_ID"": 0.0, ""DISPENSED_DATE"": 0.0, ""GENERIC_NAME"": 0.0, ""QTY"": 0.0, ""DAYS_SUPPLY"": 0.0}"
Medications,M20.csv,81423,20652.0,PATIENT_ID;DISPENSED_DATE;GENERIC_NAME;QTY;DAYS_SUPPLY,"{""PATIENT_ID"": 0.0, ""DISPENSED_DATE"": 0.0, ""GENERIC_NAME"": 0.0, ""QTY"": 0.0, ""DAYS_SUPPLY"": 0.0}"
Medications,M21.csv,28195,7663.0,PATIENT_ID;DISPENSED_DATE;GENERIC_NAME;QTY;DAYS_SUPPLY,"{""PATIENT_ID"": 0.0, ""DISPENSED_DATE"": 0.0, ""GENERIC_NAME"": 0.0, ""QTY"": 0.0, ""DAYS_SUPPLY"": 0.0}"
Medications,M22.csv,112487,15256.0,PATIENT_ID;DISPENSED_DATE;GENERIC_NAME;QTY,"{""PATIENT_ID"": 0.0, ""DISPENSED_DATE"": 0.0, ""GENERIC_NAME"": 0.0, ""QTY"": 0.0}"
Medications,M23.csv,116557,16827.0,PATIENT_ID;DISPENSED_DATE;GENERIC_NAME;QTY,"{""PATIENT_ID"": 0.0, ""DISPENSED_DATE"": 0.0, ""GENERIC_NAME"": 0.0, ""QTY"": 0.0}"
Medications,M24.csv,130972,21336.0,PATIENT_ID;DISPENSED_DATE;GENERIC_NAME;QTY,"{""PATIENT_ID"": 0.0, ""DISPENSED_DATE"": 0.0, ""GENERIC_NAME"": 0.0, ""QTY"": 0.0}"
Medications,M25.csv,126855,19253.0,PATIENT_ID;DISPENSED_DATE;GENERIC_NAME;QTY,"{""PATIENT_ID"": 0.0, ""DISPENSED_DATE"": 0.0, ""GENERIC_NAME"": 0.0, ""QTY"": 0.0}"
Medications,M26.csv,137814,20147.0,PATIENT_ID;DISPENSED_DATE;GENERIC_NAME;QTY,"{""PATIENT_ID"": 0.0, ""DISPENSED_DATE"": 0.0, ""GENERIC_NAME"": 0.0, ""QTY"": 0.0}"
Medications,M27.csv,134791,20440.0,PATIENT_ID;DISPENSED_DATE;GENERIC_NAME;QTY,"{""PATIENT_ID"": 0.0, ""DISPENSED_DATE"": 0.0, ""GENERIC_NAME"": 0.0, ""QTY"": 0.0}"
Medications,M28.csv,134696,21258.0,PATIENT_ID;DISPENSED_DATE;GENERIC_NAME;QTY,"{""PATIENT_ID"": 0.0, ""DISPENSED_DATE"": 0.0, ""GENERIC_NAME"": 0.0, ""QTY"": 0.0}"
Medications,M29.csv,123230,21253.0,PATIENT_ID;DISPENSED_DATE;GENERIC_NAME;QTY,"{""PATIENT_ID"": 0.0, ""DISPENSED_DATE"": 0.0, ""GENERIC_NAME"": 0.0, ""QTY"": 0.0}"
Medications,M30.csv,74896,12733.0,PATIENT_ID;DISPENSED_DATE;GENERIC_NAME;QTY,"{""PATIENT_ID"": 0.0, ""DISPENSED_DATE"": 0.0, ""GENERIC_NAME"": 0.0, ""QTY"": 0.0}"
Vitals,vitals BP.csv,701254,45276.0,PATIENT_ID;NAME;RATE,"{""PATIENT_ID"": 0.0, ""NAME"": 0.0, ""RATE"": 0.0}"
Vitals,vitals height.csv,56122,31392.0,PATIENT_ID;NAME;height inch;height cm,"{""PATIENT_ID"": 0.0, ""NAME"": 0.0, ""height inch"": 0.0, ""height cm"": 0.0}"
Vitals,vitals pulse.csv,626983,37963.0,PATIENT_ID;NAME;RATE,"{""PATIENT_ID"": 0.0, ""NAME"": 0.0, ""RATE"": 0.0}"
Vitals,vitals wt kg.csv,359091,46241.0,PATIENT_ID;NAME;wt pound;Unnamed: 3;wt kg ,"{""PATIENT_ID"": 0.0, ""NAME"": 0.0, ""wt pound"": 0.0, ""Unnamed: 3"": 0.0, ""wt kg "": 0.0}"
lab_tests,ALB 11.csv,230617,98007.0,PatientID;LAB_DATA_CHEMISTRY_RESULTS;DATE_TIME_SPECIMEN_TAKEN;LabTestName,"{""PatientID"": 0.0, ""LAB_DATA_CHEMISTRY_RESULTS"": 0.0, ""DATE_TIME_SPECIMEN_TAKEN"": 0.0, ""LabTestName"": 0.0}"
lab_tests,ALP 11.csv,319721,139733.0,PatientID;LAB_DATA_CHEMISTRY_RESULTS;DATE_TIME_SPECIMEN_TAKEN;LabTestName,"{""PatientID"": 0.0, ""LAB_DATA_CHEMISTRY_RESULTS"": 0.0, ""DATE_TIME_SPECIMEN_TAKEN"": 0.0, ""LabTestName"": 0.0}"
lab_tests,AST 11.csv,599430,188736.0,PatientID;LAB_DATA_CHEMISTRY_RESULTS;DATE_TIME_SPECIMEN_TAKEN;LabTestName,"{""PatientID"": 0.0, ""LAB_DATA_CHEMISTRY_RESULTS"": 0.0, ""DATE_TIME_SPECIMEN_TAKEN"": 0.0, ""LabTestName"": 0.0}"
lab_tests,AST 22.csv,8988,6338.0,PatientID;LAB_DATA_CHEMISTRY_RESULTS;DATE_TIME_SPECIMEN_TAKEN;LabTestName,"{""PatientID"": 0.0, ""LAB_DATA_CHEMISTRY_RESULTS"": 0.0, ""DATE_TIME_SPECIMEN_TAKEN"": 0.0, ""LabTestName"": 0.0}"
lab_tests,BILIRUBIN DIR 11.csv,308263,124120.0,PatientID;LAB_DATA_CHEMISTRY_RESULTS;DATE_TIME_SPECIMEN_TAKEN;LabTestName,"{""PatientID"": 0.0, ""LAB_DATA_CHEMISTRY_RESULTS"": 0.0, ""DATE_TIME_SPECIMEN_TAKEN"": 0.0, ""LabTestName"": 0.0}"
