token_id,token,n_occurrences,mean_abs_attribution,ci_low,ci_high,mean_signed_attribution
89,NUM_HBA1C_GT_12_0,347,0.36550318062713405,0.3410405749437649,0.3917744224147619,-0.05870125374571562
88,NUM_HBA1C_LE_6_0,6017,0.27728365583260783,0.27184887400203794,0.2832410661329504,0.025126787632033885
52,NUM_HBA1C_7_0_8_0,925,0.20816433502184983,0.19772133927786018,0.21922129825534725,0.16358661232642024
51,NUM_HBA1C_10_0_12_0,699,0.19275882524519478,0.18153050058825776,0.20599435805333097,0.07747339834199315
62,NUM_HBA1C_6_0_7_0,2043,0.19213433631621046,0.18421614643205875,0.2018925590160875,0.08978532978955327
53,NUM_HBA1C_8_0_9_0,740,0.14365874353286534,0.13457728670611882,0.15229388350074186,0.12778327832457836
59,NUM_HBA1C_9_0_10_0,520,0.12393856364338157,0.11568319579494597,0.13221868155562191,0.05666110859646534
125,DEM_AGE_LE_30,801,0.12276608035661345,0.11698791859013094,0.12997794702911303,0.011403035430630643
119,DEM_AGE_80_90,121,0.1108919479768754,0.09501521330353735,0.12778673250986308,-0.09081940124319358
113,NUM_FBS_GT_400,126,0.1051836011918365,0.08814169417522545,0.12441048025625243,0.1043330918718499
84,NUM_FBS_LE_110,3456,0.08281568892575537,0.08072371684755429,0.08484819701735197,-0.08272188729932639
86,DEM_AGE_70_80,489,0.07874890827670968,0.07425177186606823,0.08368510209494852,-0.0035289857976504263
115,DEM_AGE_30_40,683,0.07868277385342037,0.07478564198562326,0.08301436523447105,-0.07374045520930211
74,NUM_FBS_160_200,391,0.06844435800003874,0.06123104426316688,0.07627104442387098,0.041064497900714675
90,NUM_FBS_110_130,921,0.06406861755282271,0.06020844295747888,0.0679648536271666,-0.04052555742331029
47,NUM_FBS_200_400,732,0.05894185226939268,0.05356598953948095,0.06511129126299979,0.05449584373393824
76,NUM_FBS_130_160,537,0.05577382375529553,0.051953224708379056,0.05989819728412528,0.002316085069337981
13,THERAPY_MONOCOMBO_1,381,0.054530742903315804,0.04898800362866913,0.060276842174211,0.05441357943063157
61,DEM_AGE_60_70,1183,0.05018549188952822,0.04802309705001149,0.05223523602502193,0.019905732396432292
45,NUM_CREATININE_0_6_0_9,2955,0.045687858659069665,0.0446554065305939,0.04686251268814894,-0.04525468220194414
66,GAP_8_30D,655,0.042733270523070806,0.037816492222049115,0.04733647613248296,-0.04177247378859626
138,NUM_CREATININE_GT_2_0,177,0.041808577677653315,0.038018152624883984,0.046310630931514364,-0.041306302846885565
77,GAP_3_6M,1618,0.04105117438822681,0.03851248494739156,0.04346468803744591,0.03297093535277863
69,NUM_CREATININE_0_9_1_2,1154,0.040831736772784406,0.03926638380417651,0.04249926723985819,-0.040730115908732316
49,DEM_SEX_MALE,2448,0.039532763130386096,0.038161136029803366,0.04094777115887291,-0.004397591905538267
73,GAP_GT1Y,2808,0.03585461890297588,0.03476442814671853,0.03706971474515263,-0.015877796384354024
55,LABAGE_HBA1C_MISSING,2658,0.03483120082615707,0.03367228259833796,0.03592336974826058,-0.03482503897142872
