feature,gain,split
baseline_hba1c,584393.685400784,9163
NUM_HBA1C_LE_6_0,90970.28645837307,2215
age,68938.17109888792,8453
NUM_HBA1C_6_0_7_0,56713.57473611832,2539
NUM_HBA1C_7_0_8_0,41933.55302321911,2013
NUM_HBA1C_10_0_12_0,33361.76172363758,1366
NUM_HBA1C_8_0_9_0,29200.253550350666,1588
THERAPY_MONOCOMBO_1,24914.255453944206,885
NUM_FBS_LE_110,24585.039875149727,1721
NUM_HBA1C_9_0_10_0,23326.180053710938,1406
seq_len,21472.12703514099,3936
NUM_HBA1C_GT_12_0,18872.54678440094,756
LABAGE_HBA1C_0_30D,18716.363252282143,1985
MED_ON_METFORMIN,16251.437561511993,1852
NUM_FBS_200_400,14567.685125470161,1376
GAP_3_6M,14485.490312218666,1863
NUM_CREATININE_MISSING,14418.000427246094,2070
LABAGE_CREATININE_0_30D,13441.392053246498,1947
MED_ON_SULFONYLUREA,12917.895174264908,1181
THERAPY_NAGENTS_1,12254.200241684914,1580
NUM_FBS_MISSING,11302.621046423912,2001
DXCOUNT_0,10984.778271436691,2202
NUM_FBS_130_160,10697.698350310326,1383
NUM_FBS_110_130,10544.789482474327,1366
LABAGE_FBS_0_30D,10388.36212337017,1982
NUM_TRIGLYCERIDES_LE_150,10384.158447623253,2110
LABAGE_LDL_0_30D,9904.751715660095,1480
NUM_CREATININE_0_6_0_9,9406.674369335175,1836
NUM_LDL_MISSING,9086.601164579391,1960
NUM_FBS_160_200,8905.714721083641,1189
NUM_TOTAL_CHOLESTEROL_150_200,8787.216191768646,1952
DXCOUNT_1_2,8249.661953687668,1731
LABAGE_TOTAL_CHOLESTEROL_0_30D,7834.809354662895,1574
NUM_HBA1C_MISSING,7659.092506527901,1030
LABAGE_TRIGLYCERIDES_0_30D,7598.615779876709,1624
NUM_BUN_MISSING,7480.539083123207,1369
GAP_1_3M,7379.202396869659,1544
GAP_0_7D,7133.255817532539,1228
NUM_TOTAL_CHOLESTEROL_200_240,6929.647814869881,1504
GAP_6_12M,6841.711188733578,1383
NUM_TOTAL_CHOLESTEROL_LE_150,6726.2603677511215,1431
GAP_8_30D,6637.125581026077,1307
NUM_TRIGLYCERIDES_150_200,6449.354295969009,1376
THERAPY_NAGENTS_2,5975.036385774612,936
DEM_SEX_FEMALE,5858.163127779961,878
NUM_CREATININE_0_9_1_2,5673.307092428207,1184
LABAGE_BUN_0_30D,5638.904458165169,737
NUM_TOTAL_CHOLESTEROL_MISSING,5547.889440655708,1143
NUM_CREATININE_LE_0_6,5332.595998764038,1129
NUM_LDL_100_130,5248.8131783008575,1131
NUM_TRIGLYCERIDES_MISSING,5173.397963881493,1088
LABAGE_TRIGLYCERIDES_GT180D,5114.638475060463,1129
NUM_LDL_70_100,5060.151297092438,1107
NUM_TRIGLYCERIDES_200_300,5056.843351840973,1086
LABAGE_LDL_GT180D,5056.504601120949,1095
NUM_CREATININE_GT_2_0,4900.059370279312,642
LABAGE_HBA1C_GT180D,4884.110366106033,943
LABAGE_TOTAL_CHOLESTEROL_GT180D,4841.045530200005,1084
LABAGE_CREATININE_MISSING,4814.733413219452,598
THERAPY_MONOCOMBO_0,4495.316719889641,554
GAP_GT1Y,4313.50910615921,718
NUM_TOTAL_CHOLESTEROL_240_300,4159.600570678711,864
COM_HAS_HTN,4077.294377565384,808
NUM_LDL_130_160,4048.4274065494537,876
LABAGE_FBS_GT180D,3940.869100213051,835
NUM_CREATININE_1_2_2_0,3864.5851724147797,794
SPECIAL_EV,3807.706099629402,717
LABAGE_TRIGLYCERIDES_91_180D,3467.7843041419983,734
LABAGE_HBA1C_31_90D,3455.6357675790787,785
LABAGE_TOTAL_CHOLESTEROL_91_180D,3437.3217635154724,749
NUM_TRIGLYCERIDES_300_500,3395.883174300194,685
NUM_BUN_7_20,3289.775339484215,548
LABAGE_HBA1C_91_180D,3271.310425043106,738
LABAGE_FBS_MISSING,3245.0523233413696,563
LABAGE_LDL_91_180D,3113.509297013283,681
LABAGE_LDL_MISSING,3092.934937119484,651
LABAGE_TRIGLYCERIDES_31_90D,3049.112029314041,645
NUM_LDL_LE_70,2946.408950448036,611
NUM_FBS_GT_400,2937.3494530916214,427
LABAGE_FBS_91_180D,2737.9388885498047,612
LABAGE_FBS_31_90D,2664.3646466732025,584
LABAGE_CREATININE_GT180D,2516.825446844101,417
LABAGE_LDL_31_90D,2481.0495052337646,536
LABAGE_TOTAL_CHOLESTEROL_31_90D,2437.8879537582397,550
DEM_AGE_LE_30,2326.962115049362,128
LABAGE_CREATININE_91_180D,2302.0245065689087,453
LABAGE_HBA1C_MISSING,2181.251421570778,338
LABAGE_BUN_MISSING,2145.6238582134247,410
MED_ON_INSULIN_BASAL,1979.9921820163727,391
LABAGE_CREATININE_31_90D,1978.9693343639374,392
NUM_LDL_160_190,1951.823183298111,422
DXCOUNT_3_5,1936.2228965759277,416
NUM_TRIGLYCERIDES_GT_500,1892.642381310463,367
DEM_SEX_MALE,1879.5622254610062,277
LABAGE_TRIGLYCERIDES_MISSING,1790.071180343628,354
LABAGE_TOTAL_CHOLESTEROL_MISSING,1649.327602505684,335
DEM_AGE_50_60,1536.0156483650208,336
COM_HAS_DYSLIPIDEMIA,1511.9524719715118,330
DEM_AGE_60_70,1453.8924490213394,275
MED_ON_INSULIN_BOLUS,1417.6866781711578,262
MED_ON_DPP4,1204.9893225431442,266
NUM_LDL_GT_190,1106.1923097372055,260
