model,metric,estimate,row_ci_low,row_ci_high,row_width,patient_ci_low,patient_ci_high,patient_width,width_ratio
"Transformer (BEHRT, GPU)",AUROC macro,0.72642,0.7216,0.7307,0.0091,0.72148,0.73155,0.01007,1.106
"Transformer (BEHRT, GPU)",AUROC worsened,0.64108,0.63333,0.64849,0.01516,0.63342,0.64941,0.01598,1.054
"Transformer (BEHRT, GPU)",AUROC stable,0.7504,0.7445,0.7558,0.0113,0.74438,0.7566,0.01222,1.082
"Transformer (BEHRT, GPU)",AUROC improved,0.78778,0.78186,0.79369,0.01183,0.78166,0.79379,0.01213,1.025
"Transformer (BEHRT, GPU)",AUPRC worsened,0.3131,0.30254,0.32399,0.02145,0.30269,0.32477,0.02209,1.03
"Transformer (BEHRT, GPU)",Brier,0.52678,0.52345,0.53033,0.00688,0.52288,0.53041,0.00753,1.094
"Transformer (BEHRT, GPU)",Balanced accuracy,0.5421,0.53653,0.54741,0.01088,0.53624,0.54808,0.01184,1.088
LightGBM,AUROC macro,0.76115,0.75659,0.76526,0.00868,0.7566,0.76584,0.00924,1.065
LightGBM,AUROC worsened,0.70158,0.69414,0.70841,0.01427,0.69409,0.70903,0.01494,1.047
LightGBM,AUROC stable,0.77172,0.76635,0.77676,0.01041,0.76615,0.77732,0.01117,1.073
LightGBM,AUROC improved,0.81017,0.80489,0.81528,0.01038,0.80452,0.81565,0.01113,1.072
LightGBM,AUPRC worsened,0.37466,0.36244,0.38676,0.02432,0.36217,0.38715,0.02497,1.027
LightGBM,Brier,0.49934,0.49549,0.5034,0.00791,0.49506,0.5036,0.00854,1.08
LightGBM,Balanced accuracy,0.5676,0.56155,0.57324,0.01169,0.56171,0.57354,0.01183,1.013
LogReg (baseline),AUROC macro,0.6809,0.67603,0.68554,0.00951,0.67586,0.68601,0.01015,1.068
LogReg (baseline),AUROC worsened,0.51789,0.50957,0.52584,0.01627,0.50872,0.52609,0.01737,1.068
LogReg (baseline),AUROC stable,0.73308,0.72734,0.73863,0.0113,0.72689,0.7395,0.01261,1.116
LogReg (baseline),AUROC improved,0.79174,0.7859,0.79733,0.01143,0.78589,0.79737,0.01148,1.004
LogReg (baseline),AUPRC worsened,0.21045,0.20355,0.21767,0.01411,0.20321,0.21784,0.01463,1.037
LogReg (baseline),Brier,0.55212,0.54946,0.55499,0.00554,0.54922,0.55515,0.00593,1.071
LogReg (baseline),Balanced accuracy,0.50512,0.50002,0.51011,0.01009,0.49966,0.51065,0.011,1.09
