model,variable,subgroup,n,pct_worsened,auroc_macro,auroc_macro_lo,auroc_macro_hi,auroc_worsened,auroc_worsened_lo,auroc_worsened_hi,ece_mean,brier
"Transformer (BEHRT, GPU)",sex,FEMALE,18277,18.3,0.7158,0.7088,0.7227,0.6376,0.6266,0.6479,0.1023,0.5165
"Transformer (BEHRT, GPU)",sex,MALE,12617,21.2,0.7339,0.7268,0.7411,0.6398,0.6271,0.6524,0.0959,0.5417
"Transformer (BEHRT, GPU)",age_group,<40,7486,15.2,0.6741,0.6595,0.6869,0.6017,0.5801,0.6212,0.1141,0.4691
"Transformer (BEHRT, GPU)",age_group,40-55,9989,20.0,0.7236,0.7148,0.7325,0.6326,0.6188,0.6456,0.0927,0.5252
"Transformer (BEHRT, GPU)",age_group,55-70,10234,22.1,0.7291,0.7212,0.7364,0.6397,0.6262,0.6536,0.0936,0.5568
"Transformer (BEHRT, GPU)",age_group,>=70,3185,19.5,0.7071,0.6924,0.7205,0.6323,0.6062,0.6558,0.1088,0.5708
"Transformer (BEHRT, GPU)",baseline_hba1c_band,<7,21930,17.6,0.6359,0.6289,0.6431,0.6237,0.6134,0.6337,0.1232,0.5086
"Transformer (BEHRT, GPU)",baseline_hba1c_band,7-8,2862,31.0,0.5959,0.5798,0.6111,0.6317,0.6093,0.6542,0.0726,0.6668
"Transformer (BEHRT, GPU)",baseline_hba1c_band,8-9,2029,28.7,0.5923,0.5719,0.6103,0.5982,0.5708,0.6265,0.0499,0.6371
"Transformer (BEHRT, GPU)",baseline_hba1c_band,>=9,4073,16.9,0.6508,0.6349,0.6657,0.6777,0.6566,0.6992,0.0354,0.4713
"Transformer (BEHRT, GPU)",history_length,short (<=3 visits),23435,19.5,0.7281,0.7225,0.7336,0.6327,0.6231,0.6415,0.0975,0.5254
"Transformer (BEHRT, GPU)",history_length,long (>3 visits),7459,19.5,0.7208,0.7098,0.7322,0.6639,0.6462,0.681,0.111,0.5312
LightGBM,sex,FEMALE,18277,18.3,0.7573,0.7508,0.7637,0.7068,0.6961,0.7168,0.0867,0.4884
LightGBM,sex,MALE,12617,21.2,0.7618,0.7546,0.7686,0.6914,0.6796,0.7025,0.0805,0.5151
LightGBM,age_group,<40,7486,15.2,0.7612,0.7508,0.7725,0.726,0.7091,0.7437,0.0886,0.4309
LightGBM,age_group,40-55,9989,20.0,0.7584,0.7505,0.7667,0.6945,0.6813,0.7073,0.0801,0.5013
LightGBM,age_group,55-70,10234,22.1,0.7527,0.7447,0.76,0.6821,0.6696,0.6957,0.0824,0.5319
LightGBM,age_group,>=70,3185,19.5,0.729,0.715,0.7433,0.6704,0.6465,0.6949,0.0964,0.5494
LightGBM,baseline_hba1c_band,<7,21930,17.6,0.7012,0.6948,0.7079,0.7089,0.6988,0.718,0.0989,0.4709
LightGBM,baseline_hba1c_band,7-8,2862,31.0,0.605,0.5893,0.6199,0.6316,0.6103,0.6542,0.0736,0.6636
LightGBM,baseline_hba1c_band,8-9,2029,28.7,0.5912,0.5725,0.6096,0.5966,0.5694,0.6253,0.0557,0.6383
LightGBM,baseline_hba1c_band,>=9,4073,16.9,0.6597,0.6444,0.6757,0.6784,0.6558,0.7013,0.0326,0.4677
LightGBM,history_length,short (<=3 visits),23435,19.5,0.7637,0.7586,0.7688,0.697,0.6883,0.7049,0.0836,0.4983
LightGBM,history_length,long (>3 visits),7459,19.5,0.7558,0.7462,0.7655,0.7202,0.706,0.7347,0.0893,0.5027
LogReg (baseline),sex,FEMALE,18277,18.3,0.6674,0.6598,0.6741,0.5014,0.4885,0.5128,0.1163,0.5442
LogReg (baseline),sex,MALE,12617,21.2,0.6916,0.6846,0.6995,0.5233,0.5115,0.536,0.1068,0.5636
LogReg (baseline),age_group,<40,7486,15.2,0.6459,0.6324,0.6592,0.4599,0.4374,0.4811,0.1335,0.5047
LogReg (baseline),age_group,40-55,9989,20.0,0.6752,0.6657,0.6848,0.4989,0.4838,0.5145,0.1079,0.5528
LogReg (baseline),age_group,55-70,10234,22.1,0.6817,0.6728,0.6892,0.5092,0.4947,0.5235,0.1012,0.5736
LogReg (baseline),age_group,>=70,3185,19.5,0.6547,0.6396,0.6686,0.4824,0.457,0.5081,0.1252,0.5923
LogReg (baseline),baseline_hba1c_band,<7,21930,17.6,0.5832,0.5754,0.5902,0.4882,0.4764,0.4999,0.1401,0.5398
LogReg (baseline),baseline_hba1c_band,7-8,2862,31.0,0.5024,0.4867,0.5174,0.4887,0.4658,0.5116,0.0403,0.6726
LogReg (baseline),baseline_hba1c_band,8-9,2029,28.7,0.5125,0.4933,0.5316,0.499,0.4728,0.5244,0.0407,0.6493
LogReg (baseline),baseline_hba1c_band,>=9,4073,16.9,0.624,0.6085,0.6395,0.6298,0.6069,0.6512,0.0509,0.4857
LogReg (baseline),history_length,short (<=3 visits),23435,19.5,0.6892,0.6838,0.695,0.5288,0.519,0.5392,0.112,0.5503
LogReg (baseline),history_length,long (>3 visits),7459,19.5,0.6527,0.6422,0.6649,0.4827,0.4652,0.5009,0.1155,0.5578
